nazwa	szerokosc	dlugosc	wojewodztwo	powiat
Miasteczko Śląskie	50.4902	18.9222	śląskie	tarnogórski
Miastko	54.0003	16.9764	pomorskie	bytowski
Michałowo	53.0333	23.6064	podlaskie	białostocki
Miechów	50.3558	20.0286	małopolskie	miechowski
Miejska Górka	51.6554	16.9569	wielkopolskie	rawicki
Mielec	50.2880	21.4207	podkarpackie	mielecki
Mielno	54.2560	16.0521	zachodniopomorskie	koszaliński
Mieroszów	50.6664	16.1867	dolnośląskie	wałbrzyski
Mieszkowice	52.7868	14.4933	zachodniopomorskie	gryfiński
Międzybórz	51.3979	17.6650	dolnośląskie	oleśnicki
Międzychód	52.6045	15.8995	wielkopolskie	międzychodzki
Międzylesie	50.1477	16.6673	dolnośląskie	kłodzki
Międzyrzec Podlaski	51.9873	22.7807	lubelskie	bialski
Międzyrzecz	52.4455	15.5786	lubuskie	międzyrzecki
Międzyzdroje	53.9288	14.4502	zachodniopomorskie	kamieński
Mikołajki	53.8035	21.5718	warmińsko-mazurskie	mrągowski
Mikołów	50.1683	18.9039	śląskie	mikołowski
Mikstat	51.5321	17.9730	wielkopolskie	ostrzeszowski
Milanówek	52.1253	20.6656	mazowieckie	grodziski
Milicz	51.5243	17.2727	dolnośląskie	milicki
Miłakowo	54.0090	20.0697	warmińsko-mazurskie	ostródzki
Miłomłyn	53.7646	19.8367	warmińsko-mazurskie	ostródzki
Miłosław	52.2028	17.4886	wielkopolskie	wrzesiński
Mińsk Mazowiecki	52.1784	21.5714	mazowieckie	miński
